"","Culinary Knowledge","Culinary Skills","Algeria","Argentina","Australia","Belgium","Herzegovina","Brazil","Cameroon","Chile","Colombia","Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Coast","Japan","Mexico","Netherlands","Nigeria","Portugal","Russia","Korea","Spain","Switzerland","States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","Gender","Age","Household.Income","Education","Census Location"
"97","Novice","Low",NA,NA,NA,"3",NA,NA,NA,NA,"3",NA,NA,NA,"3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","30-44","","Graduate degree","South Atlantic"
"98","Advanced","Moderate",NA,"5","4","4","4","4",NA,"5","5","4","3","4","2","5","5",NA,"5","2",NA,"5",NA,"4","3","4",NA,"4","3","4","4","4","5","4","5","3","4","4","3",NA,"4","3","Female","> 60","$25,000 - $49,999","Graduate degree","East South Central"
"99","Novice","Moderate",NA,"3","3",NA,NA,"3",NA,NA,"3","3",NA,NA,"3","3","3",NA,"3",NA,NA,"5",NA,"3","3",NA,NA,"3",NA,NA,"3","2","5",NA,"3","4","3",NA,"3",NA,"2","2","Male","45-60","$150,000+","Bachelor degree","New England"
"101","Novice","Moderate",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5",NA,"3",NA,NA,"5",NA,"5","5",NA,NA,NA,NA,"3","3","3","5",NA,"5","3","3","3",NA,NA,"3","4","Female","> 60","$150,000+","Bachelor degree","West South Central"
"103","Advanced","High","4","4","3","4",NA,NA,"4",NA,"4","4",NA,NA,"3","4","3",NA,"4","4","4","5",NA,"3","5","4","4","4","3","3","4","3","3",NA,"5","4","4","5","5",NA,"4","2","Female","> 60","","Bachelor degree","South Atlantic"
"104","Intermediate","Moderate",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"4","3",NA,NA,"3",NA,NA,"5",NA,"4","3",NA,NA,NA,"4","1","4",NA,"5",NA,"4","4","4","4","3",NA,"4",NA,"Male","45-60","","High school degree","Pacific"
"105","Novice","Moderate",NA,"4",NA,NA,NA,"3",NA,"4","4",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"4",NA,"4","4","3",NA,"2","3","3",NA,"2","3","3","3","3","3",NA,NA,NA,"3",NA,"Male","18-29","$0 - $24,999","Some college or Associate degree","Middle Atlantic"
"106","Intermediate","Moderate",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3","5",NA,NA,"4",NA,NA,"5",NA,"3","5",NA,NA,NA,NA,NA,"4",NA,"5",NA,"5","4","5",NA,NA,"3","4",NA,"Male","18-29","","","West North Central"
"107","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",NA,NA,NA,NA,"3",NA,NA,"3",NA,NA,NA,NA,NA,NA,"3","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","Male","45-60","$100,000 - $149,999","Some college or Associate degree","West North Central"
"108","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","18-29","$150,000+","High school degree","West North Central"
"109","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4",NA,"3",NA,NA,"4",NA,"3","4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"3","2",NA,NA,"3",NA,"2","2","Male","30-44","","Bachelor degree","West North Central"
"110","Novice","Moderate",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3",NA,"4",NA,NA,"4",NA,"3","4",NA,NA,NA,NA,NA,"3",NA,"4",NA,"4","2","4","3",NA,NA,"3","3","Male","45-60","$100,000 - $149,999","Bachelor degree","West North Central"
"111","Intermediate","High",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"3","4","3",NA,"4",NA,NA,"4",NA,"5","4",NA,NA,NA,NA,NA,"4",NA,"4",NA,"4","5","5",NA,"3",NA,"4","3","Male","45-60","$100,000 - $149,999","Graduate degree","South Atlantic"
"112","Advanced","High",NA,NA,"3","3",NA,"3",NA,NA,"1","1",NA,NA,"3","2","3",NA,"4",NA,"2","4",NA,"4","1",NA,NA,NA,NA,NA,"2","3","4",NA,"3","3","3","2","2",NA,"3","3","Female","45-60","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"113","Intermediate","High",NA,"4",NA,"4",NA,"4",NA,"4","4","4",NA,"4","3","4","4","4","4","4","3","4","4","4","4","4","4","4","3","4","4","3","4","4","4","4","4","4","3",NA,"4","4","Female","> 60","$50,000 - $99,999","Graduate degree","East North Central"
"114","Intermediate","High",NA,NA,NA,NA,NA,"3",NA,NA,"3",NA,NA,NA,"3","4","4",NA,"3",NA,NA,"3",NA,"4","4","3",NA,NA,"3","3","3",NA,"2",NA,"3","4","3","4","3",NA,"3","3","Male","30-44","$0 - $24,999","Bachelor degree","East North Central"
"115","Novice","High",NA,NA,NA,"3",NA,NA,NA,NA,"3","3",NA,NA,"3","4","4",NA,"4",NA,"3","3",NA,"5","4",NA,NA,"3","3","3","4",NA,"3",NA,"5","5","4","5","4","4","3","3","Male","30-44","$25,000 - $49,999","Bachelor degree","Middle Atlantic"
"116","Advanced","High",NA,NA,"4","4",NA,"3",NA,"3",NA,NA,NA,NA,"4","4","4",NA,"2",NA,NA,"4",NA,"4","4",NA,NA,NA,NA,"4","3",NA,"5",NA,"4","2","4",NA,"3",NA,"4","4","Female","> 60","$50,000 - $99,999","High school degree","West North Central"
"117","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"2",NA,"4","4","4",NA,NA,NA,"4",NA,"Male","> 60","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"118","Advanced","High",NA,"4","3","3",NA,"4",NA,"4","3","3","3","4","2","4","2",NA,"5","3","3","5",NA,"4","4","3",NA,"4","3","4","4","3","3",NA,"4","5","5","3","4","5","4","3","Female","30-44","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"119","Advanced","Moderate","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Female","18-29","$0 - $24,999","Less than high school degree","East South Central"
"120","Novice","Low",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"5",NA,"2","4",NA,NA,NA,NA,NA,NA,NA,"5",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Female","30-44","$25,000 - $49,999","Some college or Associate degree","East North Central"
"121","Novice","Moderate",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"3",NA,"3","3","4",NA,"4",NA,NA,"4",NA,"3","3","3",NA,NA,NA,NA,"3",NA,"5",NA,"3","3","3",NA,"3",NA,"3","3","Female","> 60","$50,000 - $99,999","Graduate degree","Mountain"
"122","Intermediate","Moderate",NA,NA,"3",NA,NA,NA,NA,"3","3","3",NA,NA,"3","3","1",NA,"3","3",NA,"5",NA,"3","5","3",NA,"4","1","3","4","2","5","3","5","1",NA,NA,"4",NA,"3","3","Male","30-44","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"123","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"4",NA,NA,"4",NA,"3","3",NA,NA,NA,"3","3","4",NA,"3",NA,"4","4","3",NA,"3",NA,"3","3","Female","> 60","$50,000 - $99,999","High school degree","Middle Atlantic"
"124","Advanced","High",NA,"4","5",NA,NA,"4",NA,NA,NA,"3",NA,NA,"3","5","3",NA,"4",NA,NA,"5",NA,"4","4",NA,NA,"3","3",NA,"4","3","5",NA,"3","2","4",NA,"4",NA,"4","4","Male","> 60","$100,000 - $149,999","Bachelor degree","South Atlantic"
"125","Intermediate","Low",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"4",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"5",NA,NA,NA,NA,NA,NA,NA,"Male","30-44","","","South Atlantic"
"126","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"3","3","4",NA,"4",NA,NA,"3",NA,"4","4",NA,NA,NA,NA,NA,"3",NA,"3",NA,"4","4","5",NA,"2",NA,"5","3","Female","18-29","$50,000 - $99,999","Bachelor degree","South Atlantic"
"127","Intermediate","High","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3",NA,"4",NA,NA,"4",NA,"5","4",NA,NA,"4","3","4","4",NA,"4",NA,"4","4","4","4","4","4","4","4","Male","45-60","$50,000 - $99,999","Bachelor degree","East North Central"
"128","Intermediate","Moderate",NA,"3",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"3","3","2",NA,"4",NA,NA,"3",NA,"5","4",NA,NA,NA,NA,"4","3",NA,"4",NA,"5","2","5",NA,NA,"2","5",NA,"Female","30-44","","Graduate degree","West South Central"
"130","Intermediate","High","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"131","Intermediate","High",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"3",NA,"2",NA,"4",NA,NA,NA,NA,"4","5",NA,NA,NA,"4","4",NA,"4",NA,NA,"5","5",NA,NA,NA,"4","5","2","Male","30-44","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"132","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"3","3",NA,"3",NA,NA,"4",NA,"5","3",NA,NA,NA,NA,"3","4","3","5",NA,"4","4","4",NA,"3","3","5",NA,"Male","18-29","","Some college or Associate degree","East North Central"
"133","Intermediate","High",NA,NA,"4",NA,NA,"5",NA,NA,NA,NA,NA,NA,"4","4","4",NA,"4",NA,NA,"5",NA,"5","5",NA,NA,NA,"2",NA,"5",NA,"4",NA,"4","5","5",NA,"5",NA,"4",NA,"Female","> 60","$25,000 - $49,999","Graduate degree","Pacific"
"134","Novice","Moderate",NA,NA,NA,"4",NA,NA,NA,NA,NA,"5","4","4","3","5","3",NA,"3",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,NA,"4","3","4",NA,"4",NA,"3","3",NA,NA,"4","3","Male","> 60","$50,000 - $99,999","High school degree","Mountain"
"135","Advanced","Moderate",NA,"3","3","4",NA,"3",NA,"3","3","4","3",NA,"5","4","5",NA,"5","3","5","5",NA,"4","5","5",NA,NA,"5","4","5","5","5",NA,"5","5","4",NA,"4",NA,"5","5","Female","45-60","$50,000 - $99,999","Graduate degree","Pacific"
"136","Intermediate","High",NA,NA,NA,"4",NA,"5",NA,"3",NA,NA,NA,NA,"3","4","3",NA,"4",NA,NA,"5",NA,"4","5",NA,NA,NA,"2","2","5","3","5",NA,"4","3","5","3","3","2","3","5","Female","18-29","$0 - $24,999","Bachelor degree","West South Central"
"137","Intermediate","None",NA,NA,"3",NA,NA,NA,NA,NA,"2",NA,NA,NA,"3","2","3",NA,NA,NA,NA,"4",NA,"1","3",NA,NA,NA,"2","1","3",NA,"4","2","1","2","1",NA,"2",NA,NA,NA,"Male","18-29","","High school degree","East North Central"
"138","Intermediate","Moderate",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","5","4","3","5",NA,NA,"5",NA,"5","4","4",NA,NA,NA,"5","4",NA,"5",NA,"3","5",NA,"4","4","5","5","5","Female","30-44","$100,000 - $149,999","Graduate degree","South Atlantic"
"139","Novice","Moderate",NA,NA,NA,NA,NA,"4",NA,NA,NA,"3",NA,NA,"3",NA,"4",NA,"4",NA,NA,"4",NA,"4","4",NA,NA,"4",NA,NA,"5",NA,"3",NA,"3",NA,"4",NA,"4",NA,NA,"3","Female","45-60","","Bachelor degree","Middle Atlantic"
"140","Advanced","High",NA,"5","2",NA,NA,"5",NA,NA,NA,NA,NA,NA,"3","5","4",NA,"5",NA,NA,"5",NA,"3","5",NA,NA,"4","3",NA,"5","5","4",NA,"5","5","5",NA,"5","4","4","3","Female","45-60","$100,000 - $149,999","Bachelor degree","Pacific"
"141","Expert","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,NA,NA,"5",NA,NA,"5",NA,NA,NA,NA,"4",NA,NA,"2",NA,NA,"5","5",NA,NA,NA,NA,NA,"Female","30-44","$0 - $24,999","Bachelor degree","West North Central"
"142","Advanced","High","4","5",NA,"4",NA,"4",NA,NA,NA,"4",NA,NA,"3","5","5",NA,"4","4",NA,"5",NA,"5","4","3",NA,"4","5","5","5","3","3",NA,"5","4","5","4","4","3","5","3","Male","45-60","$150,000+","Graduate degree","South Atlantic"
"143","Intermediate","Moderate",NA,"3",NA,NA,NA,"5",NA,"3",NA,"3",NA,"3","3","4","4",NA,"4",NA,"3","5",NA,"4","5",NA,NA,NA,NA,"3",NA,NA,"5",NA,"4","3","3",NA,"3",NA,"3","3","Female","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific"
"144","Intermediate","Moderate",NA,NA,"3",NA,NA,"3",NA,"4","4",NA,NA,NA,"4","4","4",NA,NA,NA,NA,"5",NA,"3","5",NA,NA,NA,"3","3","3","3","5",NA,"4","4","3",NA,"2",NA,NA,NA,"Male","18-29","$0 - $24,999","Some college or Associate degree","East South Central"
"145","Advanced","Moderate",NA,"4",NA,"4",NA,"4",NA,"4","4","4","3","4","3","5","4",NA,"4",NA,NA,"5",NA,"3","4","3",NA,"4","3","4","4","4","4",NA,"4","3","4",NA,"4",NA,"4","3","Male","45-60","$50,000 - $99,999","Bachelor degree","South Atlantic"
"146","Intermediate","Moderate",NA,"4","3","4",NA,"4",NA,NA,NA,NA,NA,NA,"3","4","3",NA,"4",NA,NA,"4",NA,"4","4",NA,NA,NA,NA,NA,"3",NA,"3",NA,"3","4","4",NA,"3",NA,"3","3","Female","30-44","","Bachelor degree","East North Central"
"148","Intermediate","High","4","4","5","4","4","4","3","4","2","4","3","3","5","4","3","3","5","4","2","5","3","5","4","3","3","4","2","4","5","4","3","3","5","3","3","4","2","2","4","2","Male","18-29","","High school degree","New England"
"149","Intermediate","High","3","4","3","3","3","3","3","5","3","4","2","3","3","3","3","3","5","3","4","5","3","4","3","3","3","5","2","3","5","3","4","4","3","4","5","4","5","4","3","3","Female","> 60","$25,000 - $49,999","Some college or Associate degree","Pacific"
"150","Advanced","High","5","5","2",NA,NA,"4",NA,"4","3",NA,"4","3","3","5","5",NA,"5","4","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"151","Intermediate","Moderate",NA,"3","4","3",NA,"4",NA,"3",NA,"3",NA,NA,"4","5","3",NA,"4",NA,NA,"5",NA,"4","5","3",NA,"3",NA,NA,"5","4","5",NA,"4",NA,"4",NA,"3",NA,"3","4","Female","45-60","$25,000 - $49,999","Some college or Associate degree","Mountain"
"152","Advanced","High",NA,"4",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"3","5","3",NA,"5",NA,"4","5",NA,"5","5","4",NA,"4",NA,"4","5",NA,"3",NA,"5","5","4","5","4","5","4","3","Female","30-44","$25,000 - $49,999","Graduate degree","East South Central"
"153","Novice","Moderate",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3","3","4",NA,"3",NA,NA,"4",NA,"2","3",NA,NA,NA,NA,NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"4","Male","45-60","$50,000 - $99,999","Bachelor degree","New England"
"154","Novice","High",NA,"4",NA,"5",NA,"4","4","4","4","4",NA,"4","4","4","4","4","4","4","4","5",NA,"5","4",NA,"5",NA,"4","5","4","4","3",NA,"3","4","4","4","4","5","5",NA,"Female","18-29","$25,000 - $49,999","Graduate degree","South Atlantic"
"155","Intermediate","Moderate",NA,"4",NA,NA,NA,"3",NA,NA,"3",NA,NA,NA,"3","4","3",NA,"4",NA,NA,"4",NA,"4","3",NA,NA,NA,NA,NA,NA,NA,"3",NA,"3","3","3",NA,"4",NA,NA,"3","Female","45-60","$50,000 - $99,999","Some college or Associate degree","West South Central"
"156","Novice","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"5",NA,NA,"5",NA,"3","3",NA,NA,NA,NA,NA,"4",NA,"3",NA,"3","5",NA,"4","3",NA,"3","3","Female","18-29","$0 - $24,999","Graduate degree","Pacific"
"157","Novice","Moderate",NA,NA,"4","3",NA,"3","3","3","3","3","3",NA,"4","3","4","3","5",NA,"2","5",NA,"4","4","4","3","3","4","3","5","5","5","3","4","2","3","2","4",NA,"3","5","Male","45-60","$50,000 - $99,999","Bachelor degree","East North Central"
"158","Intermediate","Moderate",NA,NA,NA,"3",NA,NA,"1","3",NA,NA,NA,NA,"3","3","4",NA,"4",NA,NA,"4",NA,"3","4","3",NA,"3","4","3","4","3","3",NA,"4","4","5",NA,"3","3","4","4","Female","30-44","$50,000 - $99,999","Some college or Associate degree","Pacific"
"159","Intermediate","Moderate",NA,NA,"5","4",NA,NA,NA,NA,NA,"3",NA,NA,"4","5","3",NA,"4",NA,NA,"5",NA,"4","5","4",NA,NA,NA,"3","4","4","5",NA,"4","4","4",NA,NA,NA,NA,"5","Female","45-60","","Some college or Associate degree","West South Central"
"160","Intermediate","High",NA,NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,"4",NA,NA,"5",NA,"4","4",NA,NA,"3",NA,NA,"4",NA,"3",NA,NA,"3","4",NA,"3",NA,"3","3","Male","30-44","$0 - $24,999","Graduate degree","South Atlantic"
"161","Intermediate","Moderate",NA,NA,NA,NA,NA,"5",NA,"4","4","3",NA,"4","3","4",NA,NA,"5","3",NA,"5","3","4","4",NA,NA,"5",NA,NA,"5",NA,NA,"4","4","2","3","3","5",NA,"3","3","Female","18-29","","Graduate degree","New England"
"162","Novice","Low",NA,NA,"3",NA,NA,NA,NA,NA,NA,"3",NA,NA,"3","2",NA,NA,NA,NA,NA,"3",NA,NA,"2",NA,NA,NA,NA,"5",NA,NA,"4",NA,NA,"2",NA,NA,NA,NA,NA,"3","Male","45-60","$150,000+","Graduate degree","Middle Atlantic"
"163","Novice","None",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"4",NA,NA,NA,"4",NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,NA,"4",NA,"4",NA,"4","3",NA,NA,NA,NA,NA,"4","Female","18-29","","High school degree","New England"
"164","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"4","4",NA,NA,NA,NA,"3","3",NA,"3",NA,"4","3","5",NA,"3",NA,"4",NA,"Female","> 60","$100,000 - $149,999","Some college or Associate degree","Pacific"
"165","Intermediate","Moderate",NA,"3","3",NA,NA,"3","5",NA,NA,NA,NA,NA,"2","4","3",NA,"2",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,"4","4",NA,"5",NA,"5","3","4",NA,"3",NA,"4","3","Male","> 60","$50,000 - $99,999","Bachelor degree","Mountain"
"166","Novice","Moderate",NA,NA,"4",NA,NA,"4",NA,"4",NA,"4",NA,NA,"4","2","5",NA,"3",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,NA,"3","3","4",NA,"3","3",NA,NA,NA,NA,NA,"3","Male","45-60","$100,000 - $149,999","Bachelor degree","East North Central"
"167","Intermediate","Moderate","2","3","3","4","2","4",NA,"3","3","3",NA,"3","4","4","3","2","3","2",NA,"5","2","2","3","3","2","3","2","2","4","5","5",NA,NA,"2","2",NA,"3",NA,NA,"3","Female","> 60","$100,000 - $149,999","Bachelor degree","East North Central"
"168","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"3","5","4",NA,"5","3",NA,"5",NA,"3","4",NA,NA,NA,NA,NA,"4",NA,"4",NA,"3","3","4",NA,NA,"2","3","3","Female","> 60","$50,000 - $99,999","Graduate degree","West South Central"
"169","Intermediate","High","2","3","2","3","2","3","2","3","3","3","2","2","3","3","3","2","4","3","2","5","2","5","3","3","2","3","2","3","3","3","3","2","3","2","3","3","3","2","3","3","Female","18-29","$25,000 - $49,999","Some college or Associate degree","West South Central"
"170","Intermediate","Moderate",NA,"4",NA,NA,NA,"4",NA,NA,NA,"4",NA,"4","2","5","2",NA,"4",NA,NA,"5",NA,"5","4",NA,NA,"5","3","3","4",NA,"4",NA,"4","5","5",NA,"4","3","3","3","Male","45-60","","Bachelor degree","West South Central"
"171","Novice","Moderate",NA,NA,"4","4",NA,NA,NA,NA,"3","3",NA,NA,"4","5","3",NA,"5","3","3","5","2","3","3","3",NA,"3",NA,"5","3","3","3",NA,"4","4","3",NA,NA,NA,"3","4","Female","30-44","","Graduate degree","South Atlantic"
"172","Intermediate","Moderate",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,NA,NA,NA,"5",NA,"2","4",NA,NA,NA,NA,NA,"4",NA,"3",NA,"2","3",NA,NA,NA,NA,NA,NA,"Male","18-29","$100,000 - $149,999","Some college or Associate degree","Middle Atlantic"
"173","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","5",NA,NA,"3",NA,NA,"4",NA,"3","3",NA,NA,"3",NA,NA,"3",NA,"5",NA,"4","3","4",NA,NA,NA,"4","2","Female","> 60","$100,000 - $149,999","Graduate degree","New England"
"174","Novice","High",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"3","3",NA,NA,"4",NA,NA,"5",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"4","4","4",NA,NA,"4","4","3","Male","45-60","$25,000 - $49,999","Bachelor degree","West South Central"
"175","Advanced","High",NA,NA,"5",NA,NA,"4",NA,"4","4","5",NA,NA,"4","5","3",NA,"5","3",NA,"5","4","5","5",NA,"4","4","4","5","5","3","3",NA,"5","4","5","4","5","4","5","4","Female","45-60","$0 - $24,999","Some college or Associate degree","Pacific"
"176","Advanced","High","3","4","3","4","4","4","3","5","3","3","4","3","4","5","5","3","4","3","4","5","3","5","5","4","3","4","4","3","5","4","3","3","5","4","4","4","4","4","4","4","Female","18-29","$50,000 - $99,999","Bachelor degree","East North Central"
"177","Intermediate","Moderate","3","3","3","3","3","4",NA,"3","3","3","3","3","3","3","3",NA,"4","3","3","4",NA,"4","5","3",NA,"3","4","4","3","3","3",NA,"5","4","5","3","3","3","5","3","Male","18-29","$50,000 - $99,999","Graduate degree","West North Central"
"179","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4","4",NA,"4",NA,NA,"4",NA,"3","2",NA,NA,NA,NA,"1",NA,NA,"4",NA,"4","2","2",NA,NA,NA,"1",NA,"Male","18-29","$50,000 - $99,999","Bachelor degree","South Atlantic"
"180","Intermediate","Low",NA,NA,NA,"3",NA,NA,NA,"3",NA,NA,NA,NA,"3","4","4",NA,"3",NA,NA,"5",NA,NA,"5","3",NA,NA,NA,"3","3",NA,"4",NA,"3","2","4",NA,"3",NA,"3",NA,"Female","30-44","$25,000 - $49,999","Some college or Associate degree","Pacific"
"181","Intermediate","Moderate",NA,"3","3","4",NA,"4","2",NA,NA,"3",NA,NA,"4","4","5","3","3",NA,NA,"5","3","4","5","4","2",NA,NA,NA,"3","3","5",NA,"5","3","3",NA,"3","2","3","5","Female","> 60","$25,000 - $49,999","Graduate degree","West North Central"
"182","Intermediate","High",NA,NA,NA,"3",NA,"3",NA,"3","3","3",NA,NA,"2","4","2",NA,"3",NA,NA,"5",NA,"2","4","3",NA,NA,NA,"1","4","4","3",NA,"2","5","3","2","3","2","1","2","Female","30-44","","Bachelor degree","New England"
"183","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"3",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,NA,"5",NA,"5",NA,"5","2",NA,NA,NA,NA,NA,"4","Male","18-29","","Less than high school degree",""
"184","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","18-29","$0 - $24,999","Some college or Associate degree","New England"
"185","Intermediate","Low",NA,NA,"3","4",NA,NA,NA,"4",NA,NA,NA,NA,"3","3","5",NA,"4",NA,NA,"5",NA,"3","4",NA,NA,NA,"3",NA,"3","4","3",NA,"3","2","3",NA,NA,NA,NA,"3","Female","18-29","","Some college or Associate degree","East North Central"
"186","Intermediate","High",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"4","4","2",NA,"5",NA,NA,"5",NA,"4","5","3",NA,NA,"3","3","4","3","3",NA,"4","4","4","4","5",NA,"4","3","Female","18-29","$25,000 - $49,999","High school degree","South Atlantic"
"188","Advanced","Moderate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"189","Advanced","High","3","4","3","5","3","5","3","3","5","3","2","3","4","5","3","5","5","5","5","4","2","4","5","5","2","3","3","2","5","3","5","4","5","3","4","4","3","3","4","4","Male","18-29","$150,000+","High school degree","Pacific"
"191","Novice","Low",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","3",NA,"3",NA,NA,"5",NA,"2","5",NA,NA,NA,NA,"2","3",NA,"5",NA,"2",NA,"2",NA,NA,NA,NA,"3","Female","18-29","","Some college or Associate degree","Pacific"
"192","Novice","None","2",NA,"4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4",NA,"2",NA,"1","4",NA,"5","3",NA,NA,NA,"1",NA,NA,NA,"5",NA,"3",NA,"2",NA,"1",NA,NA,"4","Female","> 60","$100,000 - $149,999","Bachelor degree","East North Central"
"193","Novice","None","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,"4",NA,"4","2","2",NA,NA,NA,NA,NA,"","","","",""
"194","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"3",NA,"5","4",NA,NA,NA,NA,"4",NA,NA,"3",NA,"4","5","4",NA,NA,NA,"4",NA,"Female","18-29","$0 - $24,999","Bachelor degree","West South Central"
"195","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"3",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Male","45-60","","Graduate degree","West South Central"
"196","Novice","Low",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"5","4","3",NA,"3",NA,NA,"5",NA,NA,"3",NA,NA,NA,NA,NA,"2","4","5",NA,"4","1","4",NA,NA,NA,NA,NA,"Female","18-29","$0 - $24,999","Graduate degree","South Atlantic"
